Product,Subscribers From,Subscribers To,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
"[Enterprise, Unlimited] Additional Einstein Requests for Agentforce (200)",1,999999999,25.00%,35.00%,40.00%,45.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Agentforce Conversations",1,99999,2.00%,3.00%,5.00%,10.00%,,>10.00%
"[Enterprise, Unlimited] Agentforce Conversations",100000,499999,3.00%,5.00%,10.00%,15.00%,20.00%,>20.00%
"[Enterprise, Unlimited] Agentforce Conversations",500000,999999,5.00%,8.00%,12.00%,20.00%,25.00%,>25.00%
"[Enterprise, Unlimited] Agentforce Conversations",1000000,4999999,7.00%,10.00%,15.00%,25.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Agentforce Conversations",5000000,9999999,9.00%,14.00%,20.00%,30.00%,35.00%,>35.00%
"[Enterprise, Unlimited] Agentforce Conversations",10000000,99999999,11.00%,17.00%,25.00%,35.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",1,9,,,,,,>0.00%
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",10,249,3.00%,>3.00%,,,,
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",250,749,6.00%,>6.00%,,,,
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",750,1499,12.00%,>12.00%,,,,
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",1500,2999,18.00%,>18.00%,,,,
"[Enterprise, Unlimited] Flex Credits - Pre-commit (100k)",3000,99999999,23.00%,>23.00%,,,,
"[Enterprise, Unlimited] Flex Credits - Unlimited",1,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Flex Credits (100k)",1,249,5.00%,10.00%,15.00%,20.00%,,>20.00%
"[Enterprise, Unlimited] Flex Credits (100k)",250,749,5.00%,10.00%,15.00%,20.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Flex Credits (100k)",750,1499,10.00%,15.00%,20.00%,25.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Flex Credits (100k)",1500,2999,15.00%,20.00%,25.00%,30.00%,45.00%,>45.00%
"[Enterprise, Unlimited] Flex Credits (100k)",3000,99999999,20.00%,25.00%,30.00%,35.00%,45.00%,>45.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",1,9,,,,,,>0.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",10,149,6.00%,>6.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",150,749,17.00%,>17.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",750,2999,38.00%,>38.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",3000,9999,52.00%,>52.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",10000,24999,65.00%,>65.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",25000,54999,70.00%,>70.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",55000,99999,72.00%,>72.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",100000,199999,73.00%,>73.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card - Pre-commit (100k Credits)",200000,99999999,76.00%,>76.00%,,,,
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",1,149,0.00%,5.00%,10.00%,15.00%,25.00%,>25.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",150,749,5.00%,10.00%,20.00%,25.00%,36.00%,>36.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",750,2999,10.00%,15.00%,30.00%,40.00%,53.00%,>53.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",3000,9999,15.00%,25.00%,35.00%,48.00%,65.00%,>65.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",10000,24999,20.00%,30.00%,45.00%,50.00%,73.00%,>73.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",25000,54999,25.00%,35.00%,50.00%,58.00%,77.00%,>77.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",55000,99999,30.00%,40.00%,55.00%,66.00%,80.00%,>80.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",100000,199999,35.00%,50.00%,65.00%,70.00%,82.00%,>82.00%
"[Enterprise, Unlimited] Customer Data Cloud - Data Services Card (100K Credits)",200000,999999999,40.00%,55.00%,68.00%,76.00%,86.00%,>86.00%
"[Enterprise, Unlimited] Customer Data Cloud Starter",1,999999999,10.00%,15.00%,20.00%,25.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",1,149,5.00%,20.00%,24.00%,>24.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",150,749,10.00%,30.00%,39.00%,>39.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",750,1999,15.00%,40.00%,48.00%,>48.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",2000,4999,20.00%,50.00%,58.00%,>58.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",5000,9999,25.00%,58.00%,70.00%,>70.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",10000,24999,30.00%,67.00%,78.00%,>78.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",25000,54999,35.00%,72.00%,83.00%,>83.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",55000,99999,40.00%,77.00%,86.00%,>86.00%,,
"[Enterprise, Unlimited] Data 360 Profiles (1,000)",100000,999999,45.00%,81.00%,88.00%,>88.00%,,
"[Enterprise, Unlimited] Data Services Credits for Agentforce AddOn",1,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",1,99,10.00%,20.00%,30.00%,40.00%,48.00%,>48.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",100,499,15.00%,24.00%,34.00%,44.00%,54.00%,>54.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",500,999,18.00%,27.00%,37.00%,47.00%,57.00%,>57.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",1000,1999,22.00%,31.00%,41.00%,51.00%,61.00%,>61.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",2000,2999,25.00%,34.00%,44.00%,54.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",3000,3999,29.00%,38.00%,48.00%,58.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Data Cloud - Sub-second Real-Time Profile & Entities (10K)",4000,4999,32.00%,41.00%,51.00%,61.00%,71.00%,>71.00%
"[Enterprise, Unlimited] Data Space - Platform",1,3,26.00%,30.00%,34.00%,38.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Data Space - Platform",4,6,30.00%,34.00%,38.00%,42.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Data Space - Platform",7,10,34.00%,38.00%,42.00%,46.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Data Space - Platform",11,999999999,38.00%,42.00%,46.00%,48.00%,50.00%,>50.00%
"[Professional, Enterprise, Unlimited] Additional Scheduled Dashboards Total Limit",1,999999999,,,,,,>0.00%
"[Essentials, Enterprise, Unlimited] Analytics - 5 Additional Dynamic Dashboards",1,999999999,25.00%,50.00%,60.00%,75.00%,,>75.00%
"[Enterprise, Unlimited] Analytics - Additional Data Rows (100 Million)",1,999999999,10.00%,15.00%,20.00%,30.00%,,>30.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",1,10,2.00%,5.50%,15.00%,30.00%,,>30.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",11,20,3.00%,7.00%,20.00%,35.00%,,>35.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",21,40,7.00%,10.50%,25.00%,40.00%,,>40.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",41,70,14.00%,20.00%,35.00%,40.00%,,>40.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",71,100,15.00%,28.00%,38.00%,43.00%,,>43.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",101,200,20.00%,32.00%,38.00%,43.00%,,>43.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",201,300,25.00%,32.00%,39.00%,44.00%,,>44.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",301,500,25.00%,36.00%,40.00%,49.00%,,>49.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",501,700,30.00%,36.00%,44.00%,51.00%,,>51.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",701,1000,35.00%,43.00%,50.50%,55.50%,,>55.50%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",1001,1500,35.00%,47.00%,56.00%,62.00%,,>62.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",1501,2000,45.00%,55.00%,62.00%,66.00%,,>66.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",2001,2500,45.00%,57.00%,66.00%,69.00%,,>69.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",2501,3000,50.00%,59.00%,66.00%,69.00%,,>69.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",3001,3500,54.00%,60.00%,66.00%,71.00%,,>71.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",3501,4000,58.00%,61.00%,66.00%,73.00%,,>73.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",4001,5000,60.00%,65.00%,70.00%,76.00%,,>76.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",5001,10000,65.00%,70.00%,78.00%,83.00%,,>83.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",10001,15000,70.00%,75.00%,82.00%,87.00%,,>87.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",15001,20000,75.00%,80.00%,86.00%,88.00%,,>88.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",20001,30000,80.00%,83.00%,86.00%,90.00%,,>90.00%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",30001,40000,85.00%,86.00%,88.00%,90.50%,,>90.50%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",40001,50000,85.00%,88.00%,90.00%,92.30%,,>92.30%
"[Enterprise, Unlimited] CRM Analytics for Community Logins",50001,1000000000,,,,,,>0.00%
"[Enterprise, Unlimited] CRM Analytics for Community Members",1,10,20.00%,25.00%,35.00%,>35.00%,,
"[Enterprise, Unlimited] CRM Analytics for Community Members",11,100,22.00%,30.00%,37.00%,>37.00%,,
"[Enterprise, Unlimited] CRM Analytics for Community Members",101,500,27.00%,32.00%,40.00%,>40.00%,,
"[Enterprise, Unlimited] CRM Analytics for Community Members",501,2500,35.00%,40.00%,45.00%,50.00%,,>50.00%
"[Enterprise, Unlimited] CRM Analytics for Community Members",2501,5000,40.00%,45.00%,50.00%,60.00%,,>60.00%
"[Enterprise, Unlimited] CRM Analytics for Community Members",5001,20000,45.00%,50.00%,55.00%,60.00%,65.00%,>65.00%
"[Enterprise, Unlimited] CRM Analytics for Community Members",20001,50000,50.00%,55.00%,60.00%,65.00%,70.00%,>70.00%
"[Enterprise, Unlimited] CRM Analytics for Community Members",50001,999999999,55.00%,60.00%,65.00%,70.00%,77.00%,>77.00%
"[Enterprise, Unlimited] CRM Analytics Growth",1,9,26.00%,32.00%,39.00%,44.00%,,>44.00%
"[Enterprise, Unlimited] CRM Analytics Growth",10,24,29.00%,34.00%,44.00%,53.00%,,>53.00%
"[Enterprise, Unlimited] CRM Analytics Growth",25,49,39.00%,44.00%,53.00%,62.00%,72.00%,>72.00%
"[Enterprise, Unlimited] CRM Analytics Growth",50,99,44.00%,48.00%,58.00%,67.00%,77.00%,>77.00%
"[Enterprise, Unlimited] CRM Analytics Growth",100,199,48.00%,53.00%,62.00%,72.00%,79.00%,>79.00%
"[Enterprise, Unlimited] CRM Analytics Growth",200,499,53.00%,59.00%,65.00%,72.00%,81.00%,>81.00%
"[Enterprise, Unlimited] CRM Analytics Growth",500,999,58.00%,64.00%,70.00%,74.00%,85.00%,>85.00%
"[Enterprise, Unlimited] CRM Analytics Growth",1000,1999,62.00%,67.00%,72.00%,76.00%,87.00%,>87.00%
"[Enterprise, Unlimited] CRM Analytics Growth",2000,1000000000,67.00%,71.00%,74.00%,78.00%,89.00%,>89.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",1,9,21.00%,31.00%,38.00%,42.00%,51.00%,>51.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",10,24,24.00%,33.00%,39.00%,44.00%,51.00%,>51.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",25,49,27.00%,33.00%,39.00%,44.00%,53.00%,>53.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",50,99,29.00%,34.00%,41.00%,46.00%,56.00%,>56.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",100,199,31.00%,40.00%,49.00%,54.00%,58.00%,>58.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",200,499,31.00%,45.00%,53.00%,58.00%,62.00%,>62.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",500,999,31.00%,48.00%,56.00%,63.00%,67.00%,>67.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",1000,1999,36.00%,49.00%,62.00%,69.00%,73.00%,>73.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",2000,2999,36.00%,52.00%,65.00%,74.00%,80.00%,>80.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",3000,4999,36.00%,54.00%,67.00%,76.00%,82.00%,>82.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",5000,7499,40.00%,56.00%,69.00%,78.00%,84.00%,>84.00%
"[Enterprise, Unlimited] CRM Analytics for Manufacturing (No Third Party Terms)",7500,999999999,41.00%,57.00%,70.00%,79.00%,85.00%,>85.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",1,9,25.00%,35.00%,41.00%,45.00%,54.00%,>54.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",10,24,28.00%,37.00%,41.00%,47.00%,54.00%,>54.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",25,49,31.00%,37.00%,41.00%,47.00%,56.00%,>56.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",50,99,34.00%,38.00%,44.00%,48.00%,57.00%,>57.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",100,199,35.00%,43.00%,51.00%,56.00%,59.00%,>59.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",200,499,35.00%,49.00%,56.00%,59.00%,64.00%,>64.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",500,999,35.00%,50.00%,58.00%,65.00%,69.00%,>69.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",1000,1999,39.00%,51.00%,64.00%,70.00%,74.00%,>74.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",2000,2999,39.00%,55.00%,67.00%,75.00%,81.00%,>81.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",3000,4999,39.00%,56.00%,69.00%,77.00%,83.00%,>83.00%
"[Enterprise, Unlimited] CRM Analytics Plus - Additional Stories (1,000)",5000,7499,44.00%,58.00%,71.00%,79.00%,86.00%,>86.00%
"[Enterprise, Unlimited] Consumer Goods Cloud - Trade Promotion Optimization",1,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",1,9,16.00%,22.00%,30.00%,39.00%,44.00%,>44.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",10,24,17.00%,23.00%,33.00%,43.00%,49.00%,>49.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",25,49,20.00%,26.00%,34.00%,44.00%,51.00%,>51.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",50,99,21.00%,27.00%,35.00%,45.00%,53.00%,>53.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",100,199,23.00%,29.00%,39.00%,49.00%,56.00%,>56.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",200,499,24.00%,36.00%,46.00%,54.00%,58.00%,>58.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",500,999,24.00%,39.00%,50.00%,59.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",1000,1999,25.00%,41.00%,52.00%,62.00%,67.00%,>67.00%
"[Enterprise, Unlimited] Energy & Utilities Analytics (No Third-Party Terms)",2000,1000000000,25.00%,44.00%,57.00%,68.00%,73.00%,>73.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",1,1999,15.00%,30.00%,40.00%,>40.00%,,
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",2000,3499,12.00%,25.00%,38.00%,47.00%,,>47.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",3500,4999,22.00%,33.00%,45.00%,53.00%,,>53.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",5000,6499,31.00%,41.00%,52.00%,59.00%,,>59.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",6500,7999,41.00%,49.00%,58.00%,64.00%,,>64.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",8000,11499,50.00%,58.00%,65.00%,70.00%,,>70.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",11500,15499,52.00%,59.00%,66.00%,71.00%,,>71.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",15500,19499,53.00%,60.00%,67.00%,72.00%,,>72.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",19500,24999,55.00%,62.00%,69.00%,73.00%,,>73.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Growth - GMV (10,000)",25000,999999999,58.00%,64.00%,70.00%,75.00%,,>75.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",1,999,15.00%,25.00%,30.00%,>30.00%,,
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",1000,1999,21.00%,33.00%,41.00%,45.00%,,>45.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",2000,3999,36.00%,46.00%,52.00%,55.00%,,>55.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",4000,7499,46.00%,54.00%,59.00%,62.00%,,>62.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",7500,13999,54.00%,61.00%,65.00%,68.00%,,>68.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",14000,19999,61.00%,66.00%,70.00%,72.00%,,>72.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",20000,29999,64.00%,69.00%,73.00%,75.00%,,>75.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",30000,39999,68.00%,72.00%,76.00%,77.00%,,>77.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - GMV - B2C (10,000)",40000,999999999,70.00%,74.00%,77.00%,79.00%,,>79.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",1,15000,50.00%,70.00%,85.00%,95.00%,,>95.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",15001,50000,65.00%,82.00%,90.00%,96.00%,,>96.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",50001,100000,80.00%,87.50%,92.30%,96.50%,,>96.50%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",100001,250000,85.00%,89.30%,93.30%,97.00%,,>97.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",250001,500000,89.00%,91.50%,94.50%,97.50%,,>97.50%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",500001,1000000,91.00%,93.30%,95.80%,98.00%,,>98.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",1000001,3000000,93.00%,95.00%,97.00%,98.30%,,>98.30%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Plus - PPO",3000001,999999999,95.00%,96.50%,97.50%,98.50%,,>98.50%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",1,999,0.00%,15.00%,30.00%,40.00%,,>40.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",1000,1999,2.00%,17.00%,32.00%,41.00%,,>41.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",2000,2999,5.00%,19.00%,33.00%,43.00%,,>43.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",3000,3999,7.00%,21.00%,35.00%,44.00%,,>44.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",4000,4999,10.00%,23.00%,37.00%,46.00%,,>46.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",5000,5999,12.00%,26.00%,39.00%,47.00%,,>47.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",6000,6999,15.00%,28.00%,40.00%,49.00%,,>49.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",7000,7999,17.00%,30.00%,42.00%,50.00%,,>50.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce - Starter - GMV (10,000)",8000,999999999,20.00%,32.00%,44.00%,52.00%,,>52.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",1,9,,,,,,>0.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",10,24,40.00%,50.00%,56.00%,59.00%,,>59.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",25,49,50.00%,58.00%,63.00%,66.00%,,>66.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",50,99,58.00%,65.00%,69.00%,72.00%,,>72.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",100,199,68.00%,73.00%,77.00%,79.00%,,>79.00%
"[Essentials, Professional, Enterprise, Unlimited] B2C Commerce (Headless Platform) - Additional API Calls (15M)",200,999999999,72.00%,76.00%,80.00%,81.00%,,>81.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",1,999,11.00%,18.00%,24.00%,30.00%,,>30.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",1000,1999,15.00%,23.00%,29.00%,37.00%,45.00%,>45.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",2000,3999,25.00%,32.00%,36.00%,46.00%,55.00%,>55.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",4000,7499,32.00%,38.00%,41.00%,52.00%,62.00%,>62.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",7500,13999,38.00%,43.00%,46.00%,57.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",14000,19999,43.00%,46.00%,49.00%,61.00%,72.00%,>72.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",20000,29999,45.00%,48.00%,51.00%,63.00%,75.00%,>75.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",30000,39999,48.00%,50.00%,53.00%,65.00%,77.00%,>77.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - GMV (10,000)",40000,999999999,49.00%,52.00%,54.00%,66.00%,79.00%,>79.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",1,19,,,,,,>0.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",20,199,5.00%,20.00%,30.00%,46.00%,,>46.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",200,349,11.00%,22.00%,35.00%,50.00%,,>50.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",350,499,14.00%,24.00%,37.00%,52.00%,,>52.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",500,749,17.00%,26.00%,39.00%,53.00%,,>53.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",750,1499,20.00%,28.00%,41.00%,55.00%,,>55.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",1500,2999,24.00%,30.00%,43.00%,56.00%,,>56.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",3000,4999,28.00%,35.00%,45.00%,57.00%,,>57.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",5000,9999,33.00%,40.00%,47.00%,58.00%,,>58.00%
"[Enterprise, Unlimited] Order Management - Starter - Orders (1,000) - LP",10000,19999,38.00%,45.00%,51.00%,59.00%,,>59.00%
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - On Demand Sandbox Credits (2M/year)",1,10,15.00%,25.00%,30.00%,>30.00%,,
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - On Demand Sandbox Credits (2M/year)",11,20,18.00%,28.00%,33.00%,>33.00%,,
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - On Demand Sandbox Credits (2M/year)",21,40,22.00%,32.00%,37.00%,>37.00%,,
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - On Demand Sandbox Credits (2M/year)",41,100,26.00%,36.00%,41.00%,>41.00%,,
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - On Demand Sandbox Credits (2M/year)",101,999999999,30.00%,40.00%,45.00%,>45.00%,,
"[Enterprise, Unlimited] Commerce Cloud - B2C - Premium - PPO (10)",1,15000,50.00%,55.00%,60.00%,65.00%,70.00%,>70.00%
